127.0.0.1 - - [22/Apr/2024:13:14:51 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Apr/2024:13:14:54 +0530] "GET /PhoneBookApp/ HTTP/1.1" 200 5410
0:0:0:0:0:0:0:1 - - [22/Apr/2024:13:14:55 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/Apr/2024:13:14:58 +0530] "GET /PhoneBookApp/ContactServlet?action=LIST HTTP/1.1" 200 5941
0:0:0:0:0:0:0:1 - - [22/Apr/2024:13:14:58 +0530] "GET /PhoneBookApp/ContactServlet?action=LIST HTTP/1.1" 200 5941
0:0:0:0:0:0:0:1 - - [22/Apr/2024:13:15:06 +0530] "POST /PhoneBookApp/ContactServlet HTTP/1.1" 200 6291
0:0:0:0:0:0:0:1 - - [22/Apr/2024:13:15:12 +0530] "GET /PhoneBookApp/ContactServlet?action=LIST HTTP/1.1" 200 7777
0:0:0:0:0:0:0:1 - - [22/Apr/2024:13:15:12 +0530] "GET /PhoneBookApp/ContactServlet?action=LIST HTTP/1.1" 200 7777
0:0:0:0:0:0:0:1 - - [22/Apr/2024:13:15:14 +0530] "GET /PhoneBookApp/ContactServlet?action=LIST HTTP/1.1" 200 7777
0:0:0:0:0:0:0:1 - - [22/Apr/2024:13:15:14 +0530] "GET /PhoneBookApp/ContactServlet?action=LIST HTTP/1.1" 200 7777
0:0:0:0:0:0:0:1 - - [22/Apr/2024:13:15:16 +0530] "GET /PhoneBookApp/views/contact_form.jsp HTTP/1.1" 200 7021
0:0:0:0:0:0:0:1 - - [22/Apr/2024:13:15:16 +0530] "GET /PhoneBookApp/views/contact_form.jsp HTTP/1.1" 200 7021
0:0:0:0:0:0:0:1 - - [22/Apr/2024:13:15:20 +0530] "GET /PhoneBookApp/ContactServlet?action=LIST HTTP/1.1" 200 7777
0:0:0:0:0:0:0:1 - - [22/Apr/2024:13:15:20 +0530] "GET /PhoneBookApp/ContactServlet?action=LIST HTTP/1.1" 200 7777
0:0:0:0:0:0:0:1 - - [22/Apr/2024:13:15:22 +0530] "GET /PhoneBookApp/views/contact_form.jsp HTTP/1.1" 200 7021
0:0:0:0:0:0:0:1 - - [22/Apr/2024:13:15:23 +0530] "GET /PhoneBookApp/ContactServlet?action=LIST HTTP/1.1" 200 7777
0:0:0:0:0:0:0:1 - - [22/Apr/2024:13:15:32 +0530] "GET /PhoneBookApp/ContactServlet?action=LIST HTTP/1.1" 200 7777
0:0:0:0:0:0:0:1 - - [22/Apr/2024:13:15:32 +0530] "GET /PhoneBookApp/ContactServlet?action=LIST HTTP/1.1" 200 7777
0:0:0:0:0:0:0:1 - - [22/Apr/2024:13:15:35 +0530] "GET /PhoneBookApp/views/contact_form.jsp HTTP/1.1" 200 7021
0:0:0:0:0:0:0:1 - - [22/Apr/2024:13:15:36 +0530] "GET /PhoneBookApp/views/contact_form.jsp HTTP/1.1" 200 7021
0:0:0:0:0:0:0:1 - - [22/Apr/2024:13:15:53 +0530] "GET /PhoneBookApp/views/Profile.jsp HTTP/1.1" 200 6269
0:0:0:0:0:0:0:1 - - [22/Apr/2024:13:15:53 +0530] "GET /PhoneBookApp/views/Profile.jsp HTTP/1.1" 200 6269
